OpenAlex ID,PDF URL,DRUID
https://openalex.org/W2976790204,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/arxiv.org/W2976790204.pdf,druid:pg336cw7885
https://openalex.org/W2941345678,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/discovery.ucl.ac.uk/W2941345678.pdf,druid:pg684bh6859
https://openalex.org/W4392650084,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/arxiv.org/W4392650084.pdf,druid:ph313zz5615
https://openalex.org/W4291821255,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/osf.io/W4291821255.pdf,druid:pt236zn3456
https://openalex.org/W3028990183,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/discovery.ucl.ac.uk/W3028990183.pdf,druid:pw298qp9279
https://openalex.org/W4280645526,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/arxiv.org/W4280645526.pdf,druid:qb491ps3997
https://openalex.org/W4214943500,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/escholarship.org/W4214943500.pdf,druid:qh192zp7366
https://openalex.org/W2914653242,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/arxiv.org/W2914653242.pdf,druid:qj258wc5060
https://openalex.org/W4250899323,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/eartharxiv.org/W4250899323.pdf,druid:qj864kb6479
https://openalex.org/W3040284472,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/escholarship.org/W3040284472.pdf,druid:qs348mv7691
https://openalex.org/W2977841367,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/liu.diva-portal.org/W2977841367.pdf,druid:qs929mg6711
https://openalex.org/W4399800474,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/eartharxiv.org/W4399800474.pdf,druid:qv558ft6688
https://openalex.org/W4385565029,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/osf.io/W4385565029.pdf,druid:qw212cz6041
https://openalex.org/W2939088344,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/www.bostonfed.org/W2939088344.pdf,druid:qy373yc8380
https://openalex.org/W3124742002,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/arxiv.org/W3124742002.pdf,druid:rc235st5761
